  % CIE 1924 photopic response from http://cvrl.ioo.ucl.ac.uk
  380e-9  3.9000e-005
  385e-9  6.4000e-005
  390e-9  1.2000e-004
  395e-9  2.1700e-004
  400e-9  3.9600e-004
  405e-9  6.4000e-004
  410e-9  1.2100e-003
  415e-9  2.1800e-003
  420e-9  4.0000e-003
  425e-9  7.3000e-003
  430e-9  1.1600e-002
  435e-9  1.6840e-002
  440e-9  2.3000e-002
  445e-9  2.9800e-002
  450e-9  3.8000e-002
  455e-9  4.8000e-002
  460e-9  6.0000e-002
  465e-9  7.3900e-002
  470e-9  9.0980e-002
  475e-9  1.1260e-001
  480e-9  1.3902e-001
  485e-9  1.6930e-001
  490e-9  2.0802e-001
  495e-9  2.5860e-001
  500e-9  3.2300e-001
  505e-9  4.0730e-001
  510e-9  5.0300e-001
  515e-9  6.0820e-001
  520e-9  7.1000e-001
  525e-9  7.9320e-001
  530e-9  8.6200e-001
  535e-9  9.1485e-001
  540e-9  9.5400e-001
  545e-9  9.8030e-001
  550e-9  9.9495e-001
  555e-9  1.0000e+000
  560e-9  9.9500e-001
  565e-9  9.7860e-001
  570e-9  9.5200e-001
  575e-9  9.1540e-001
  580e-9  8.7000e-001
  585e-9  8.1630e-001
  590e-9  7.5700e-001
  595e-9  6.9490e-001
  600e-9  6.3100e-001
  605e-9  5.6680e-001
  610e-9  5.0300e-001
  615e-9  4.4120e-001
  620e-9  3.8100e-001
  625e-9  3.2100e-001
  630e-9  2.6500e-001
  635e-9  2.1700e-001
  640e-9  1.7500e-001
  645e-9  1.3820e-001
  650e-9  1.0700e-001
  655e-9  8.1600e-002
  660e-9  6.1000e-002
  665e-9  4.4580e-002
  670e-9  3.2000e-002
  675e-9  2.3200e-002
  680e-9  1.7000e-002
  685e-9  1.1920e-002
  690e-9  8.2100e-003
  695e-9  5.7230e-003
  700e-9  4.1020e-003
  705e-9  2.9290e-003
  710e-9  2.0910e-003
  715e-9  1.4840e-003
  720e-9  1.0470e-003
  725e-9  7.4000e-004
  730e-9  5.2000e-004
