Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-22341.451	1604.5813	-20327.62	-24633.549	1000.0	-0.6411472	0.77221584	3.2887998	-4.37937	5000	2.9802322e-08	4078425.0	-0.047225144	-571296.1	0.9189408	0.009357918	0.22659999	79.0	3.901524066925049
1	-21935.715	1923.3146	-19212.076	-24627.51	1000.0	-206.28868	184.30757	-4.4705367	-1313.6388	10000	1.2665987e-07	3284231.0	-0.01563694	-1814785.6	0.9115178	0.0150085185	0.15	11.0	5.322909355163574
2	-22368.04	1210.6031	-21424.244	-24415.787	1000.0	-1102.7875	703.5347	-26.634941	-6835.9175	15000	-4.4703484e-08	1785891.8	-0.029360414	-1384804.8	0.90951926	0.0150730675	0.18759999	47.0	7.190908193588257
3	-21526.477	1831.8799	-19606.254	-24445.35	1000.0	-1750.8668	666.86926	-69.04561	-5389.028	20000	-4.0978193e-08	480921.47	-0.04378982	-273073.47	0.9056486	0.013290555	0.19319999	79.0	9.13245415687561
4	-20980.486	489.44193	-20379.521	-21707.424	1000.0	-1963.9211	637.5065	-87.37658	-4645.545	25000	-3.7252903e-09	207486.83	-0.037335604	-58207.066	0.896081	0.0049210545	0.1532	79.0	11.27328109741211
5	-19954.682	306.81506	-19658.09	-20459.291	1000.0	-1994.687	645.51746	-105.350784	-4856.345	30000	-1.7695129e-08	142994.12	-0.038050443	-25749.098	0.8961094	0.0132501675	0.18599999	79.0	13.709686040878296
6	-20113.902	1999.7129	-18014.53	-22477.998	1000.0	-2070.5918	592.3125	-102.73068	-3496.705	35000	2.0489097e-08	119483.99	-0.03998852	-28469.242	0.8855424	0.015117454	0.1704	79.0	16.099672079086304
7	-21573.5	1380.0226	-20204.734	-23852.617	1000.0	-2012.4148	538.86414	-102.38383	-3505.5261	40000	-1.3038516e-08	154815.95	-0.04285492	-60868.152	0.8862623	0.0076925047	0.2114	79.0	18.40531826019287
8	-19618.523	2334.2432	-17669.363	-23408.975	1000.0	-1948.7972	602.438	-118.99781	-3626.5417	45000	0.0	115808.63	-0.04425347	-11158.703	0.8780213	0.0046390924	0.1846	79.0	20.674235105514526
9	-22488.043	1307.8597	-21165.91	-24218.775	1000.0	-2206.389	676.9323	-133.64406	-3274.0718	50000	2.4214387e-08	90846.05	-0.036413103	-19822.754	0.8764555	0.0102527365	0.20019999	79.0	22.825698137283325
10	-23082.342	2660.0896	-18758.709	-25526.713	1000.0	-2228.0525	720.1789	-130.93126	-3208.6504	55000	1.1175871e-08	80229.5	-0.042791337	-18751.35	0.8723065	0.0041375905	0.19080001	79.0	24.710914134979248
11	-21469.512	2613.193	-17457.107	-24480.37	1000.0	-2200.7563	675.20483	-141.79306	-3605.7244	60000	1.0477379e-08	100903.46	-0.043340445	-27677.71	0.8713634	0.014139883	0.2238	79.0	27.03540301322937
12	-18277.414	3798.869	-12805.2	-22758.045	1000.0	-1622.9423	748.6108	-147.61732	-3852.0903	65000	-3.7252903e-09	131833.61	-0.04528682	-39697.586	0.8591311	0.004559074	0.2164	79.0	29.78625512123108
13	-19756.934	4182.4062	-14712.144	-24495.965	1000.0	-1975.2324	767.2251	-166.58774	-3379.9814	70000	7.450581e-09	72347.78	-0.04371146	-11825.589	0.8510681	0.012088337	0.1988	79.0	31.773266315460205
14	-20077.848	3114.0679	-15719.539	-23954.953	1000.0	-2066.7278	636.9277	-165.80183	-3121.7	75000	-2.7939677e-08	92256.06	-0.041476652	-27066.451	0.84530115	0.0037820037	0.2106	79.0	33.54633116722107
15	-21072.906	3839.5676	-14938.067	-25240.771	1000.0	-1992.2108	822.5412	-167.43132	-3265.453	80000	-2.2351742e-08	96556.055	-0.04908846	-29197.248	0.83848727	0.010777123	0.2264	79.0	35.271740198135376
16	-20041.371	3138.7869	-14725.841	-22869.75	1000.0	-1961.1644	696.41864	-180.70508	-3387.3232	85000	-1.21071935e-08	95848.25	-0.04737053	-20472.371	0.8265414	0.0063866386	0.21599999	79.0	37.16142511367798
17	-17356.008	1003.09076	-15941.466	-18521.55	1000.0	-1808.4344	614.90894	-186.96552	-3298.5576	90000	3.7252903e-09	89513.06	-0.045571603	-19110.379	0.82247585	0.009678367	0.2152	79.0	39.42304730415344
18	-20097.664	3773.8865	-13724.085	-23415.432	1000.0	-1925.3586	800.5276	-207.58931	-5550.8657	95000	9.313226e-10	177223.28	-0.04282119	-38815.47	0.8191237	7.6636206e-07	0.22299999	79.0	41.53240704536438
19	-18289.133	1928.769	-16239.729	-21459.494	1000.0	-1731.9878	616.93243	-205.85683	-2836.4265	100000	-3.7252903e-08	78109.17	-0.046701845	-24566.49	0.81406415	0.01251354	0.2238	79.0	43.377732276916504
20	-20084.777	3123.46	-14689.336	-22109.6	1000.0	-1977.9392	836.36285	-241.9183	-3378.673	105000	7.450581e-09	88788.414	-0.04642112	-22636.246	0.81195796	0.006701405	0.20699999	79.0	45.20638728141785
21	-18043.117	2657.0005	-14461.879	-20608.895	1000.0	-1777.6573	761.22003	-243.85564	-3395.88	110000	2.7939677e-08	58945.938	-0.047309484	-9536.709	0.8074623	0.0057126624	0.2086	79.0	46.993927240371704
22	-18331.541	3567.8762	-13024.33	-23045.63	1000.0	-1755.7365	704.6831	-256.07623	-3225.4963	115000	-2.9802322e-08	69593.94	-0.049384754	-19057.23	0.80358684	0.009929419	0.2146	79.0	49.13770127296448
23	-16667.281	2390.797	-13805.091	-19033.79	1000.0	-1332.51	621.6936	-289.18332	-3572.3384	120000	3.3527613e-08	310935.8	-0.041906662	-224747.03	0.7972685	0.007735291	0.1918	79.0	51.03437638282776
24	-16026.763	738.55597	-14818.376	-16660.262	1000.0	-1607.6392	656.5615	-313.3185	-2893.1775	125000	-1.4901161e-08	70713.125	-0.042705245	-32312.496	0.79814845	0.015008675	0.2016	61.0	52.867207288742065
25	-15408.117	2274.8643	-12742.886	-18967.531	1000.0	-1477.245	755.8421	-343.9661	-3872.528	130000	-2.6077032e-08	79194.49	-0.044704728	-28828.7	0.7942073	0.01621306	0.22100002	71.0	54.71918320655823
26	-16203.072	2115.929	-13678.667	-18545.129	1000.0	-1450.0282	723.86444	-370.47797	-3132.7727	135000	-3.7252903e-08	62452.53	-0.04784914	-28636.023	0.7927305	0.012502773	0.2086	79.0	56.527223110198975
27	-15571.202	1944.9089	-13627.714	-18325.1	1000.0	-1586.5254	728.75134	-389.38635	-2881.885	140000	5.5879354e-09	47837.58	-0.04345704	-23474.062	0.7856975	0.015298986	0.2008	58.0	58.38116812705994
28	-17983.523	2124.1882	-15464.211	-21312.031	1000.0	-1621.5431	776.9134	-402.56717	-3546.6438	145000	1.4901161e-08	96069.25	-0.046871796	-54720.746	0.7764354	0.013551713	0.1866	79.0	60.37960910797119
29	-15736.154	1543.0065	-13876.991	-18155.344	1000.0	-1353.6936	521.5796	-436.74432	-2612.968	150000	-1.4901161e-08	61333.016	-0.037995905	-38283.48	0.7742951	0.015277205	0.1706	37.0	62.069711208343506
30	-16627.127	1022.2751	-15304.648	-17858.387	1000.0	-1682.4352	901.116	-455.6373	-4068.9973	155000	-7.450581e-09	61299.73	-0.04885986	-37665.86	0.77103394	0.014301008	0.21000001	79.0	64.05989718437195
31	-15380.012	1000.49396	-14125.62	-16623.316	1000.0	-1384.1509	614.1823	-418.0749	-2505.6877	160000	5.2154064e-08	65071.047	-0.039906025	-44424.305	0.7651871	0.015024776	0.1734	56.0	65.98060011863708
32	-13926.909	1944.3945	-12178.911	-17154.518	1000.0	-1314.822	546.84894	-446.24252	-2540.5574	165000	2.2351742e-08	37736.656	-0.046731994	-16417.123	0.76065314	0.01468088	0.216	79.0	68.02340412139893
33	-15118.51	2431.6802	-11871.072	-17741.377	1000.0	-1422.5251	669.6832	-457.83655	-2845.262	170000	-1.4901161e-08	37774.62	-0.044956982	-11971.52	0.7492488	0.015059934	0.1956	70.0	70.24480628967285
34	-14529.488	1699.1555	-12428.111	-17001.215	1000.0	-1358.2595	606.1728	-466.57855	-2648.4155	175000	0.0	52819.156	-0.051035114	-26260.375	0.74873674	0.015136346	0.2098	76.0	72.0530743598938
35	-13086.306	2011.7943	-9643.803	-14695.2295	1000.0	-1260.0165	533.74713	-478.52844	-2787.7131	180000	3.7252903e-09	32826.1	-0.025701415	-13783.112	0.739518	0.01545441	0.1304	20.0	73.52674722671509
